File,Mode,DUR (Max/Min),Total E (MeV),Efficiency (%)
Output_Run_0.root,PDD,320.0294138896327,356731.0743499607,7.1346214869992135
Output_Run_1.root,PDD,355.72137757533,517262.7533312566,10.345255066625132
Output_Run_2.root,PDD,363.59447854837464,690396.8218666669,13.807936437333337
Output_Run_3.root,PDD,355.54455368289086,872459.2594518199,17.4491851890364
Output_Run_4.root,PDD,315.30300455284345,1077043.8042659375,21.54087608531875
Output_Run_5.root,PDD,276.5253308977039,1305535.709418534,26.110714188370682
Output_Run_6.root,PDD,235.6805757234346,1545901.6882855208,30.91803376571042
Output_Run_7.root,PDD,202.02108150795087,1787542.0225256057,35.750840450512115
Output_Run_8.root,PDD,171.5039631167062,2037169.189935654,40.743383798713076
Output_Run_9.root,PDD,154.37442895892076,2294009.8750042873,45.88019750008574
Output_Run_10.root,PDD,149.58699397997438,2546407.6881331326,50.92815376266265
Output_Run_11.root,PDD,143.14055128784344,2791191.5640342357,55.82383128068471
Output_Run_12.root,PDD,139.43270208746702,3021864.5535012223,60.43729107002444
Output_Run_13.root,PDD,140.59731263585914,3239590.125974074,64.79180251948148
Output_Run_14.root,PDD,150.73892139011835,3447849.532354555,68.9569906470911
Output_Run_15.root,PDD,159.62206766653324,3623057.1475529484,72.46114295105896
Output_Run_16.root,PDD,175.70065990427835,3774626.55702225,75.492531140445
Output_Run_17.root,PDD,201.72655471393168,3899192.6761862254,77.9838535237245
Output_Run_18.root,PDD,244.1108842218704,3996971.427279813,79.93942854559627
Output_Run_19.root,PDD,322.66287510885223,4070300.542125038,81.40601084250075
Output_Run_20.root,PDD,461.50737222769817,4119475.4440488624,82.38950888097725
Output_Run_21.root,PDD,760.7149762345887,4153187.625926216,83.06375251852432
Output_Run_22.root,PDD,1448.124452359746,4166116.0969431894,83.32232193886378
