File,Mode,DUR (Max/Min),Total E (MeV),Efficiency (%)
Output_Run_0.root,VDD,307.1535717997485,483001.95514380856,9.660039102876171
Output_Run_1.root,VDD,125.04233251785543,692609.3376410989,13.852186752821977
Output_Run_2.root,VDD,191.28485306842123,911123.5575552771,18.222471151105545
Output_Run_3.root,VDD,9719.359823915633,1139827.7696243231,22.79655539248646
Output_Run_4.root,VDD,3289.307270219428,1385610.6948297375,27.71221389659475
Output_Run_5.root,VDD,974.9064134792653,1635927.9345889324,32.71855869177865
Output_Run_6.root,VDD,150.37192623461596,1895053.4861644076,37.90106972328815
Output_Run_7.root,VDD,1518.3429977746785,2161411.7353243586,43.22823470648717
Output_Run_8.root,VDD,814.5428825099413,2434266.5963892746,48.68533192778549
Output_Run_9.root,VDD,395.9001524601188,2703748.3214036166,54.07496642807234
Output_Run_10.root,VDD,594.1785836861325,2967051.1595059684,59.341023190119365
Output_Run_11.root,VDD,160.1685227719471,3223905.183370227,64.47810366740454
Output_Run_12.root,VDD,397.1653547820397,3458823.300850706,69.17646601701412
Output_Run_13.root,VDD,411.62061638416304,3671806.92075459,73.4361384150918
Output_Run_14.root,VDD,166.05921230700565,3862197.1060440056,77.24394212088012
Output_Run_15.root,VDD,1140.7751216528266,4017762.0827518958,80.35524165503791
Output_Run_16.root,VDD,227.4591678576828,4139615.2195935557,82.79230439187111
Output_Run_17.root,VDD,218.7012906495449,4228141.359234108,84.56282718468215
Output_Run_18.root,VDD,273.61788612752594,4283967.716943342,85.67935433886684
Output_Run_19.root,VDD,263.46643847219144,4315770.979830589,86.31541959661179
Output_Run_20.root,VDD,417.9465564910639,4329225.154116849,86.58450308233698
Output_Run_21.root,VDD,71.40554464591257,4335618.173080019,86.71236346160038
Output_Run_22.root,VDD,703.7636526724397,4332897.409658408,86.65794819316815
