File,Thick(mm),DUR (95/5%),Efficiency (%),Max Dose
Output_Run_0.root,5,1.126,1.03,22793.43
Output_Run_1.root,7,1.161,1.47,23130.62
Output_Run_2.root,9,1.169,1.93,23976.16
Output_Run_3.root,11,1.194,2.4,26720.35
Output_Run_4.root,13,1.246,2.9,27808.38
Output_Run_5.root,15,1.293,3.41,29775.38
Output_Run_6.root,17,1.34,3.94,32039.1
Output_Run_7.root,19,1.393,4.48,34694.19
Output_Run_8.root,21,1.448,5.03,36279.63
Output_Run_9.root,23,1.444,5.57,37301.96
Output_Run_10.root,25,1.433,6.11,37635.65
Output_Run_11.root,27,1.405,6.63,36716.57
Output_Run_12.root,29,1.37,7.11,34420.44
Output_Run_13.root,31,1.36,7.54,31019.85
Output_Run_14.root,33,1.356,7.92,27525.59
Output_Run_15.root,35,1.525,8.22,27528.61
Output_Run_16.root,37,1.976,8.44,27514.95
Output_Run_17.root,39,2.955,8.59,27435.24
Output_Run_18.root,41,4.993,8.67,27326.97
Output_Run_19.root,43,10.829,8.71,27198.69
Output_Run_20.root,45,34.002,8.71,27256.18
Output_Run_21.root,47,167.638,8.72,27238.8
Output_Run_22.root,49,690.035,8.71,27244.36
Output_Run_23.root,51,908.743,8.72,27211.68
